---,AuthorName,MessageText,DateTime,IsNewAuthor,DelayBefore,Group
0,MrSeagull,yo,6/3/2026 21:18,true,0,intro
1,MrSeagull,"been what, like two years",,false,0,intro
2,MrSeagull,you still cracked at shooters or did life finally get you,,false,0,intro
3,You,who is this,6/3/2026 21:20,true,0,intro
4,MrSeagull,ouch. it's me. check the @,6/3/2026 21:20,true,0,intro
5,You,...oh,6/3/2026 21:21,true,0,intro
6,You,thought you went dark for good,,false,0,intro
7,MrSeagull,i did. had a reason. showing you tomorrow,6/3/2026 21:22,true,0,intro
8,MrSeagull,keep your rig on,,false,0,intro
9,MrSeagull,you up?,6/4/2026 13:24,true,1.5,intro
10,MrSeagull,ok so you know how the ultra-rich just vanish when things get hot,,false,2,intro
11,MrSeagull,"there's a whole hidden dimension they stash everything in. servers, labs, copies of real places",,false,2,intro
12,You,is this a bit,6/4/2026 13:25,true,1,intro
13,MrSeagull,no. i found a way in,6/4/2026 13:25,true,1.5,intro
14,MrSeagull,out there everything runs on remote robot bodies. untraceable. i can drop you into one,,false,2,intro
15,MrSeagull,"you pilot it like a game. it dies, i just load you into a fresh one. zero risk to the real you",,false,2,intro
16,You,and you need me why,6/4/2026 13:26,true,1.5,intro
17,MrSeagull,"because i need the best player i know. that's not flattery, it's the job",6/4/2026 13:26,true,2,intro
17_b,You,bro did u just use gpt for that,6/4/2026 13:26,true,1.5,intro
18,MrSeagull,"you know that guy Sonnenberg, calls himself ""the tech saint""? ",6/4/2026 13:26,true,1.5,intro
18_b,MrSeagull,his files are the next big thing since little jeff's files dropped,,false,2.5,intro
18_c,MrSeagull,he set up everything to appear he offed himself,,false,2.5,intro
18_d,MrSeagull,actually chilling on his private island in separate dimension,,false,2.5,intro
19,MrSeagull,now he wants to upload himself and live forever in a server. we start by raiding his villa,,false,2,intro
20,MrSeagull,i'm streaming the whole run. chat funds it. we expose him in front of everyone,,false,2,intro
21,MrSeagull,"you and me, we mog a billionaire on his own island",,false,1.5,intro
22,You,ok. i'm listening,6/4/2026 13:27,true,1.5,intro
23,MrSeagull,knew you still had it,6/4/2026 13:27,true,1.5,intro
24,MrSeagull,link's open. jump in when you're ready,,false,2,intro
25,[FILE],training_sim.exe,Run the training sequence first,true,2.5,intro
