---,ID,Text,Sound,Speaker,DurationOverride
0,beach_01,здарова. ты как?,,z3r0day,2
1,beach_02,"так, ну тут это... небольшая смена планов",,z3r0day,2.5
2,beach_03,я может не всё тебе рассказал,,z3r0day,2.5
3,beach_04,чувак. я где,,ramless_,2
4,beach_05,карманное измерение. частные острова. тема богачей,,z3r0day,3
5,beach_06,слушай я не хотел тебя пугать до того как ты согласился,,z3r0day,3
6,beach_07,СОГЛАСИЛСЯ? ты сказал зайти в звонок!,,ramless_,2.5
7,beach_08,технически ты зашёл. просто... физически,,z3r0day,3
8,beach_09,...,,ramless_,1.5
9,beach_10,смотри справа портовое здание. я там кое-что спрятал,,z3r0day,3.5
10,beach_11,зайди с чёрного входа. там костюм,,z3r0day,3
11,beach_12,костюм,,ramless_,1.5
12,beach_13,поверь. он тебе понадобится,,z3r0day,2
13,preport_01,сюда. Пригнись,,z3r0day,2
14,preport_02,надевай,,z3r0day,1.5
15,port_03,окей теперь начистоту,,z3r0day,2
16,port_04,это место охраняется жестянками,,z3r0day,3
17,port_05,обучены на самом трешовом контенте,,z3r0day,2.5
18,port_06,они... не умные. но их дофига,,z3r0day,3
19,port_07,зиро я тебя умоляю,,ramless_,2
20,tut_01,ты в курсе что теперь можешь двойной прыжок делать?,,z3r0day,2.5
21,tut_02,красава. теперь попробуй воздушный рывок,,z3r0day,2
22,tut_03,эта штука ещё и по стенам бегать даёт кстати,,z3r0day,2.5
,,,,,
,,,,,
25,tut_06,жёстко,,ramless_,1.5
,,,,,
,,,,,
28,tut_09,ударь ту сферу чтобы получить заряд. потом спасибо скажешь,,z3r0day,3
29,combat_01,"смотри, жестянка",,z3r0day,2
30,combat_02,бей его,,z3r0day,2.5
31,combat_03,спрыгни на этого,,z3r0day,3
32,combat_04,ага теперь ударь что-нибудь из барахла и кинь в дверь,,ramless_,3
33,combat_05,блин они и тут! кидай в них что-нибудь или бей пока не добрались,,z3r0day,4
34,combat_06,забери их пушки. видишь ту сферу на двери? Ты так не дотянешься. стреляй в неё,,z3r0day,6
35,combat_07,о у этих ребят пушки тоже крутые! попробуй пострелять в заряженные канистры,,z3r0day,6
36,combat_08,ты в квейк играл братан? попробуй стрелять себе под ноги. не бойся не больно,,z3r0day,6
37,jungle_01,особняк на холме. там самое вкусное,,z3r0day,3
38,jungle_02,первый тайник с оперативкой должен быть внутри,,z3r0day,2.5
39,jungle_03,надеюсь оно того стоит — телепортироваться в другое измерение,,ramless_,3
40,jungle_04,ещё как,,z3r0day,1.5
41,premansion_01,зачисти этажи. хранилище оперативки должно быть на крыше,,z3r0day,4
42,premansion_02,"залезай на крышу, приз ждёт",,z3r0day,4
43,mansion_02,найс. это апгрейд костюма. ставь,,z3r0day,2.5
44,mansion_03,чувствуешь?,,z3r0day,1.5
45,mansion_04,окей это реально крутая штука,,ramless_,2
46,mansion_05,говорил же. теперь дата-центр в центре острова,,z3r0day,3.5
47,mansion_06,это главная цель,,z3r0day,2
48,pre_dc_01,зачем я вообще это делаю,,ramless_,2.5
49,pre_dc_02,оперативка. дохрена. больше чем ты можешь себе представить,,z3r0day,3
50,pre_dc_03,...,,ramless_,3.5
51,pre_dc_04,пожалуйста зиро мне это надо мой комп совсем рамлесс,,ramless_,2
52,pre_dc_05,вот это настрой,,z3r0day,1.5
53,dc_enter_01,главный зал. видишь серверные стойки? ломай их побольше,,z3r0day,3
54,dc_enter_02,рам-юнит в холодильнике в центре. он под щитом,,z3r0day,3
55,dc_enter_03,вынеси стойки и щит упадёт,,z3r0day,2.5
56,dc_shield,щит снят. ломай контейнер и забирай,,z3r0day,2.5
57,dc_grab_01,есть. скачиваю рам точка ехе,,ramless_,2.5
58,dc_grab_02,смешно. отправляю мне,,z3r0day,2.5
59,end_01,...,,z3r0day,3
60,end_02,окей это было быстро,,z3r0day,2
61,end_03,что,,ramless_,1.5
62,end_04,я внутри. расшифровываю,,z3r0day,2.5
63,end_05,о нет,,z3r0day,4
64,end_06,что. что там,,ramless_,2
65,end_07,это не просто хранилище оперативки,,z3r0day,2.5
66,end_08,это файлы. реальные файлы. имена. даты. всё,,z3r0day,3.5
67,end_09,файлы о чём,,ramless_,2
68,end_10,о НИХ. о владельцах. что они делали,,z3r0day,3.5
69,end_11,мы теперь слишком много знаем,,z3r0day,3
70,end_12,оба,,z3r0day,2
71,end_13,зиро...,,ramless_,2
72,end_14,нас поджарят бро,,z3r0day,3
