Name,SequenceID,StepIndex,DelaySec,PersonaRow,UsernameOverride,Message
scr_argue_0,regulars_argue,0,0.0,per_leet,,man this guy is dogshit
scr_argue_1,regulars_argue,1,2.5,per_chad,,@leetgamer1337 chill hes learning
scr_argue_2,regulars_argue,2,3.0,per_leet,,@based_dept hes been "learning" for two arenas
scr_argue_3,regulars_argue,3,2.2,per_ratio,,actually his apm is below average
scr_argue_4,regulars_argue,4,2.0,per_stan,,you guys are mean leave him alone
scr_lore_0,antenna_drama,0,0.0,per_witch,,whatever is on that antenna is going to wake something up
scr_lore_1,antenna_drama,1,3.0,per_leet,,bro stfu its just a hack
scr_lore_2,antenna_drama,2,2.5,per_chad,,nah the witch is onto something
scr_lore_3,antenna_drama,3,2.0,per_bot,,Did you know Polarity-class robots predate the conspiracy by 30 years?
scr_first_0,first_kill_chat,0,0.0,per_stan,,FIRST BLOOD LETS GO
scr_first_1,first_kill_chat,1,1.5,per_leet,,about time
scr_first_2,first_kill_chat,2,1.8,per_chad,,here we go
